證券代號,投標開始日,撥券日期(上市、上櫃日期),成交量,成交金額,開盤價,最高價,最低價,收盤價,價差,成交筆數,首日收盤溢價率,首日最高溢價率,首日最低溢價率,最低得標加價率,加權平均加價率
7780,2025-08-25,2025-09-09,5605644,1187022234,188.0,226.5,180.5,219.0,0.0,6608,-0.022,0.011,-0.194,0.09,0.517
7782,2025-10-09,2025-10-28,457871,15264158,33.4,34.0,33.0,33.25,0.75,394,-0.032,-0.01,-0.039,0.332,0.374
7786,2025-11-03,2025-11-18,2935372,457165208,159.0,159.5,150.5,150.5,0.0,3031,-0.107,-0.054,-0.107,0.0,0.124
7788,2025-09-26,2025-10-16,1585006,182781856,126.0,127.5,107.5,112.0,0.0,1568,-0.097,0.027,-0.134,0.437,0.502
7791,2025-10-09,2025-10-28,1942637,161093664,83.4,84.5,81.6,82.6,0.0,1674,0.01,0.033,-0.002,0.246,0.306
7792,2026-01-13,2026-01-28,2732693,1081852229,399.0,415.0,380.0,406.0,272.0,3446,0.929,0.972,0.806,0.824,0.856
7795,2025-12-31,2026-01-16,4805999,1335890581,271.0,300.0,238.0,292.0,0.0,5038,0.549,0.591,0.262,0.719,0.78
7799,2025-08-29,2025-09-15,2703531,2032563167,740.0,776.0,729.0,750.0,0.0,4580,0.04,0.076,0.011,0.148,0.238
7805,2025-12-05,2025-12-22,869442,610052560,730.0,730.0,673.0,690.0,132.0,1981,0.042,0.102,0.016,0.355,0.425
7810,2025-12-08,2025-12-23,1804497,332548250,168.0,201.0,158.0,201.0,116.0,1898,0.458,0.458,0.146,0.901,1.028
7823,2026-01-21,2026-02-05,823224,127389163,165.0,165.0,146.0,148.0,0.0,644,0.019,0.136,0.005,0.83,1.066
8028,2018-06-20,2018-07-10,10236883,402334903,38.0,41.7,36.85,41.7,0.0,4379,0.243,0.243,0.098,0.589,0.637
8045,2024-11-21,2024-12-11,1695250,119172321,72.6,72.6,68.8,69.7,0.0,1391,-0.03,0.01,-0.043,0.147,0.212
8089,2020-09-03,2020-09-23,4296324,280089034,64.5,68.5,62.8,63.0,17.75,2973,0.146,0.246,0.142,0.382,0.41
8102,2025-12-05,2025-12-22,341154,19782458,57.0,60.0,56.2,59.1,6.0,313,-0.013,0.002,-0.062,0.267,0.331
8104,2018-12-26,2019-01-17,5312511,430366391,80.0,83.4,79.0,81.4,0.0,3287,0.125,0.153,0.092,0.42,0.447
8162,2024-02-20,2024-03-07,1272000,59026150,47.0,48.5,44.9,45.9,0.0,588,0.126,0.19,0.102,0.188,0.257
8227,2022-11-30,2022-12-20,4862969,511248687,100.0,115.0,99.7,103.0,60.3,3414,0.329,0.484,0.286,1.09,1.143
8272,2024-10-02,2024-10-23,1168768,136818298,115.0,128.0,108.5,124.0,65.0,1155,0.442,0.488,0.261,0.59,0.691
8279,2016-09-05,2016-09-26,3366467,290911204,73.0,139.0,73.0,121.0,62.2,2298,0.817,1.087,0.096,0.288,0.314
8284,2020-04-27,2020-05-18,3071760,208147279,66.0,74.9,66.0,70.9,25.9,2076,0.18,0.246,0.098,0.57,0.602
8342,2017-11-03,2017-11-23,1231100,69577400,58.0,61.0,53.2,54.0,13.0,858,0.17,0.322,0.153,0.229,0.261
8367,2018-08-21,2018-09-12,2614025,55151550,21.4,21.8,20.35,21.65,0.0,1591,0.02,0.027,-0.041,0.191,0.226
